Kommune;Andel;Label
Horten;13,87;Horten
Holmestrand;12,81;Holmestrand
Tønsberg;12,62;Tønsberg
Sandefjord;15,85;Sandefjord
Larvik;12,17;Larvik
Porsgrunn;12,08;Porsgrunn
Skien;13,98;Skien
Notodden;11,32;Notodden
Færder;11,74;Færder
Siljan;6,90;Siljan
Bamble;8,72;Bamble
Kragerø;10,77;Kragerø
Drangedal;10,04;Drangedal
Nome;11,50;Nome
Midt-Telemark;13,76;Midt-Telemark
Tinn;11,67;Tinn
Hjartdal;7,81;Hjartdal
Seljord;9,87;Seljord
Kviteseid;8,56;Kviteseid
Nissedal;10,68;Nissedal
Fyresdal;8,76;Fyresdal
Tokke;8,36;Tokke
Vinje;9,96;Vinje
